cell_id,Year,Month,magnitude,next_month_max_mag,y_prob,y_class
-1.0_133.0,2001,9,6.5,7.4,1,1
-10.0_159.5,2001,12,6.8,7.0,1,1
-10.5_161.0,2011,4,6.8,6.5,0,-1
-11.0_161.0,2010,4,6.9,6.7,0,-1
-11.0_161.0,2010,6,6.7,7.8,1,1
-11.0_162.0,2004,10,6.8,6.6,0,-1
-11.5_162.0,2004,11,6.7,7.6,1,1
-13.0_166.0,2002,6,6.7,7.8,1,1
-13.5_-77.0,2006,10,6.7,8.0,1,2
-13.5_166.5,2009,10,7.7,6.6,0,-1
-14.0_166.5,2008,9,6.9,7.2,1,1
-14.0_166.5,2010,5,7.2,6.7,0,-1
-14.0_167.0,2010,3,6.5,6.5,0,-1
-14.5_167.0,2005,2,6.7,6.7,0,-1
-15.0_-70.5,2019,3,7.0,7.2,1,1
-15.0_167.0,2001,1,7.1,7.1,1,1
-15.0_167.0,2015,10,7.1,6.8,0,-1
-15.0_167.0,2017,5,6.8,6.9,0,-1
-15.5_-173.5,2015,3,6.5,6.8,0,-1
-16.0_-75.0,2013,9,7.1,7.1,1,1
-16.0_167.5,2006,8,6.8,7.2,1,1
-16.5_-74.0,2001,6,8.4,6.6,0,-1
-18.0_168.0,2002,1,6.6,7.3,1,1
-18.5_-178.5,2018,8,8.2,6.7,0,-1
-2.0_134.0,2002,10,7.6,6.7,0,-1
-2.0_99.5,2005,4,6.7,6.5,0,-1
-2.5_99.5,2007,9,7.0,7.2,1,1
-20.0_-178.5,2014,7,6.9,6.9,0,-1
-20.0_-71.0,2014,3,6.7,8.2,1,2
-21.5_170.0,2014,5,6.6,7.0,1,1
-22.0_169.0,2017,10,6.7,7.5,1,1
-22.5_169.5,2003,12,7.3,6.6,0,-1
-23.0_-70.5,2007,11,6.8,6.7,0,-1
-3.5_142.5,2002,9,7.6,6.6,0,-1
-30.0_-178.0,2014,6,6.9,7.4,1,1
-30.5_-178.0,2021,6,6.5,6.6,0,-1
-31.0_-178.5,2013,9,6.5,7.3,1,1
-31.0_-71.5,2002,6,6.6,6.8,0,-1
-36.5_-73.0,2010,2,8.8,6.9,0,-1
-38.0_179.5,2014,11,6.7,7.3,1,1
